TradingSymbol,Name,InstrumentType,TimeStamp,Open,High,Low,Close,Volume
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:34,  3.45 ,  3.45 ,  3.45 ,  3.45 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:35,  3.45 ,  3.50 ,  3.45 ,  3.50 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:36,  3.50 ,  3.55 ,  3.50 ,  3.55 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:37,  3.55 ,  3.55 ,  3.55 ,  3.55 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:38,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:39,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:40,  3.55 ,  3.55 ,  3.35 ,  3.35 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:41,  3.35 ,  3.40 ,  3.20 ,  3.20 ,""  8,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:42,  3.20 ,  3.45 ,  3.20 ,  3.45 ,""  25,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:43,  3.45 ,  3.55 ,  3.40 ,  3.40 ,""  10,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:44,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  5,000.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:45,  3.40 ,  3.50 ,  3.40 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:46,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  5,000.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:47,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:48,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:49,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:50,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:51,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:52,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:53,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:54,  3.50 ,  3.55 ,  3.50 ,  3.55 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:55,  3.55 ,  3.60 ,  3.55 ,  3.55 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:56,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:57,  3.40 ,  3.45 ,  3.40 ,  3.45 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:58,  3.45 ,  3.45 ,  3.45 ,  3.45 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:59,  3.45 ,  3.50 ,  3.45 ,  3.50 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:00,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:01,  3.50 ,  3.50 ,  3.45 ,  3.45 ,""  5,000.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:02,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:03,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:04,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:05,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:06,  3.35 ,  3.40 ,  3.25 ,  3.25 ,""  8,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:07,  3.25 ,  3.30 ,  3.25 ,  3.30 ,""  2,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:08,  3.30 ,  3.30 ,  3.30 ,  3.30 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:09,  3.30 ,  3.30 ,  3.30 ,  3.30 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:10,  3.30 ,  3.30 ,  3.30 ,  3.30 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:11,  3.30 ,  3.30 ,  3.30 ,  3.30 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:12,  3.30 ,  3.35 ,  3.30 ,  3.30 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:13,  3.35 ,  3.35 ,  3.35 ,  3.35 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:14,  3.35 ,  3.35 ,  3.35 ,  3.35 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:15,  3.35 ,  3.35 ,  3.35 ,  3.35 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:16,  3.25 ,  3.25 ,  3.25 ,  3.25 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:17,  3.30 ,  3.35 ,  3.25 ,  3.35 ,""  10,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:18,  3.35 ,  3.45 ,  3.35 ,  3.45 ,""  2,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:19,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:20,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:21,  3.45 ,  3.45 ,  3.40 ,  3.40 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:22,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:23,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:24,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:25,  3.40 ,  3.45 ,  3.40 ,  3.40 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:26,  3.40 ,  3.40 ,  3.35 ,  3.35 ,""  7,500.00 """
